Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Day,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
3AD1157,430850,435449,2,Leeds 2016,13/10/2016,Thursday,1717,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,28,Car
3AD1157,430850,435449,2,Leeds 2016,13/10/2016,Thursday,1717,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,3,Car
3AD1157,430850,435449,2,Leeds 2016,13/10/2016,Thursday,1717,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,2,Car
3AD1358,434644,434313,1,Leeds 2016,13/10/2016,Thursday,1856,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,10,Car
3AD1575,418155,442420,2,Leeds 2016,13/10/2016,Thursday,2049,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,46,Car
3AE0209,424467,437099,2,Leeds 2016,14/10/2016,Friday,700,A,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Serious,Male,48,Pedal cycle
3AE0267,430392,432168,1,Leeds 2016,14/10/2016,Friday,815,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,13,Goods vehicle 3.5 tonnes mgw and under
3AE0273,430263,431947,3,Leeds 2016,14/10/2016,Friday,823,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,53,Goods vehicle 3.5 tonnes mgw and under
3AE0273,430263,431947,3,Leeds 2016,14/10/2016,Friday,823,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,36,Goods vehicle 3.5 tonnes mgw and under
3AE0276,419439,445089,2,Leeds 2016,14/10/2016,Friday,825,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Male,48,Goods vehicle 3.5 tonnes mgw and under
3AE0276,419439,445089,2,Leeds 2016,14/10/2016,Friday,825,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Female,23,Car
3AE0425,425697,432088,1,Leeds 2016,13/10/2016,Thursday,1515,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,12,Car
3AE0501,431387,428096,1,Leeds 2016,02/10/2016,Sunday,800,Unclassified,Wet or Damp,Daylight street lights present,Unknown,Driver,Serious,Male,35,Motorcycle over 50cc and up to 125cc
3AE0966,422271,433453,1,Leeds 2016,14/10/2016,Friday,1100,B,Dry,Daylight street lights present,Unknown,Pedestrian,Slight,Male,16,Car
3AE1165,428987,432348,2,Leeds 2016,14/10/2016,Friday,1710,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,21,Motorcycle over 50cc and up to 125cc
3AE1458,426832,438715,2,Leeds 2016,14/10/2016,Friday,1925,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,37,Car
